PRO_ORIG,PRO,DESCRIZION,NUM_ORIG,NOTE,NUM_TAV,PRO_MB,COD_UTIL,x,y
BG,BG,Bogn di Castro,1,,3.00000000,0,1,10.057,45.801
BG,BG,Abbazia di Pontida,2,,1.00000000,0,2,9.499,45.732
BG,BG,Architetture religiose neoclassiche della Bassa Bergamasca,3,,2.00000000,0,3,9.717,45.598
BG,BG,Castello di Malpaga,4,,4.00000000,0,4,9.759,45.617
BG,BG,Citta' alta di Bergamo e colli di Bergamo,5,,5.00000000,0,5,9.678,45.707
BG,BG,Edifici termali di S. Pellegrino,6,,6.00000000,0,6,9.657,45.829
BG,BG,"Gola di Sedrina e la ""Goggia"" del Brembo",7,,7.00000000,0,7,9.622,45.781
BG,BG,Il Brembo a S. Giovanni,8,,8.00000000,0,8,9.634,45.868
BG,BG,Impianti industriali di Dalmine,9,,9.00000000,0,9,9.587,45.652
BG,BG,Pizzo dei Tre Signori,10,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,10.00000000,0,10,9.527,46.012
BG,BG,Pizzo del Diavolo,11,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,11.00000000,0,11,9.908,46.045
BG,BG,Pizzo della Presolana,12,,12.00000000,0,12,10.055,45.957
BG,BG,Santuario della Madonna di Caravaggio,13,,13.00000000,0,13,9.639,45.476
BG,BG,Tempietto di S. Tome a Almenno S. Bartolomeo,14,,14.00000000,0,14,9.605,45.740
BS,BS,Lame di Iseo e monastero di S. Pietro in Lamosa,15,,21.00000000,0,15,10.028,45.646
BS,BS,Adamello e Lobbia Alta,16,,15.00000000,0,16,10.507,46.158
BS,BS,Castello di Brescia e  Monte Maddalena,17,ACCORPAMENTO IN UN UNICO RECORD,16.00000000,0,17,10.225,45.543
BS,BS,Colle e castello di Breno,18,,17.00000000,0,18,10.298,45.956
BS,BS,Isola di Garda,19,,20.00000000,0,19,10.589,45.593
BS,BS,Limonaie di Limone del Garda,20,,22.00000000,0,20,10.679,45.699
BS,BS,Montisola,21,,23.00000000,0,21,10.086,45.707
BS,BS,Piazza della Loggia e piazza della Vittoria a Brescia,22,,24.00000000,0,22,10.195,45.537
BS,BS,Pieve di S. Siro a Capo di Ponte,23,,25.00000000,0,23,10.353,46.029
BS,BS,Punta di Sirmione,24,,26.00000000,0,24,10.606,45.510
BS,BS,Rifugio e passo di Gavia,25,"ACCORPAMENTO IN UN UNICO RECORD, CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI",27.00000000,0,25,10.484,46.344
BS,BS,S. Martino della Battaglia e siti risorgimentali,26,,28.00000000,0,26,10.600,45.439
BS,BS,Santuario della Madonna di Montecastello o Madonna di Tignale,27,,29.00000000,0,27,10.733,45.742
BS,BS,Veduta della rocca di Manerba,28,,30.00000000,0,28,10.572,45.557
BS,BS,Vedutadi Montichiari e Lonato,29,ACCORPAMENTO IN UN UNICO RECORD,31.00000000,0,29,10.487,45.458
BS,BS,Villa Fenaroli a Rezzato,30,,32.00000000,0,30,10.315,45.512
BS,BS,Conca di Pontedilegno,31,,18.00000000,0,31,10.508,46.260
BS,BS,Golfo di Salo',32,,19.00000000,0,32,10.515,45.605
BS,BS,Vittoriale di Gardone Riviera,33,,33.00000000,0,33,10.558,45.619
CO,CO,"Centro lago (punta di Bellagio, castello di Vesio, Menaggio)",34,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,34.00000000,0,34,9.265,46.006
CO,CO,Como e Brunate,35,,35.00000000,0,35,9.088,45.821
CO,LC,Imbersago,36,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,49.00000000,0,36,9.439,45.707
LC,LC,IMBEVERA,37,,50.00000000,0,37,9.321,45.732
CO,CO,"Inverigo, ville e colli briantei",38,ACCORPAMENTO IN UN UNICO RECORD,36.00000000,0,38,9.212,45.748
CO,CO,Isola Comacina,39,,37.00000000,0,39,9.176,45.965
CO,CO,Laghi Briantei,40,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,38.00000000,0,40,9.273,45.801
CO,CO,Luoghi del Fogazzaro in Valsolda,41,,39.00000000,0,41,9.056,46.028
CO,LC,Luoghi manzoniani a Lecco,42,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,51.00000000,0,42,9.418,45.843
CO,LC,Montevecchia e ville di Merate,43,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,52.00000000,0,43,9.377,45.720
CO,CO,Pievi dell'Alto Lario e S. Maria del Tiglio a Gravedona,44,,41.00000000,0,44,9.301,46.145
CO,LC,Resegone e Grigne,45,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,53.00000000,0,45,9.376,45.946
CO,LC,S. Pietro di Civate e architetture romaniche comasche,46,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,54.00000000,0,46,9.281,45.837
CO,CO,Santuario della Madonna dei Ghirli a Campione d'Italia,47,,42.00000000,0,47,8.971,45.968
CO,CO,Ville del Lago di Como,48,,43.00000000,0,48,9.112,45.846
CO,CO,Orridi del Lago di Como,49,,40.00000000,0,49,9.164,45.920
CR,CR,L'Adda a Pizzighettone,50,,44.00000000,0,50,9.791,45.190
CR,CR,S.Maria di Bressanoro a Castelleone,51,,46.00000000,0,51,9.766,45.311
CR,CR,Santuario di S. Maria delle Grazie a Crema,52,,47.00000000,0,52,9.687,45.364
CR,CR,Torrazzo di Cremona,53,,48.00000000,0,53,10.026,45.134
CR,CR,Rocca di Soncino,54,,45.00000000,0,54,9.866,45.399
MI,MI,Abbazie milanesi,55,,58.00000000,0,55,9.235,45.431
MI,MI,Architetture religiose romanico-gotiche della Bassa Milanese,56,,59.00000000,0,56,9.085,45.361
MI,LO,Castelli del Lodigiano e delle linee difensive Adda-Ticino,57,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,55.00000000,0,57,9.559,45.271
MI,MI,Centrali elettriche dell'Adda e Crespi d'Adda,58,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,60.00000000,0,58,9.499,45.647
MI,MI,Collina di S. Colombano al Lambro,59,,61.00000000,0,59,9.476,45.174
MI,MI,Fontanili e marcite della Bassa,60,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,62.00000000,0,60,9.791,45.201
MI,MI,"Luoghi topici di Milano (Duomo, Scala, Castello, ecc.)",61,,63.00000000,0,61,9.186,45.474
MI,LO,Piazza della Vittoria a Lodi,62,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,56.00000000,0,62,9.505,45.314
MI,MI,Vedute leonardesche sul medio corso dell'Adda,63,CASO A CONFINE TRA PIU' TERRITORI PROVINCIALI,64.00000000,0,63,9.470,45.672
MI,MB,Villa Reale di Monza,64,MODIFICA PER ISTITUZIONE NUOVA PROVINCIA,57.00000000,1,64,9.253,45.600
MI,MI,Ville dei navigli milanesi,65,,65.00000000,0,65,8.851,45.459
MN,MN,Abbazia di S. Benedetto Po,66,,66.00000000,0,66,10.930,45.040
MN,MN,Castello scaligero di Villimpenta,67,,67.00000000,0,67,11.032,45.145
MN,MN,Il Mincio dinnanzi alla Villa della Giraffa a Goito,68,,68.00000000,0,68,10.675,45.254
MN,MN,Laghi di Mantova e castello di S. Giorgio,69,,69.00000000,0,69,10.794,45.172
MN,MN,Palazzo Te a Mantova,70,,70.00000000,0,70,10.798,45.134
MN,MN,Rivarolo Mantovano (porta di-),71,,71.00000000,0,71,10.434,45.071
MN,MN,Sabbioneta,72,,72.00000000,0,72,10.490,44.999
PV,PV,Castello di Montalto Pavese,73,,73.00000000,0,73,9.210,44.979
PV,PV,Certosa di Pavia,74,,74.00000000,0,74,9.143,45.260
PV,PV,Chiuse del Naviglio Pavese a Pavia,75,,75.00000000,0,75,9.169,45.187
PV,PV,Monte Penice e Monte Lesima,76,ACCORPAMENTO IN UN UNICO RECORD,76.00000000,0,76,9.300,44.786
PV,PV,Piazza Ducale a Vigevano,77,,77.00000000,0,77,8.854,45.318
PV,PV,Ponte della Becca,78,,78.00000000,0,78,9.217,45.155
PV,PV,Ponte Vecchio di Pavia,79,,79.00000000,0,79,9.147,45.185
PV,PV,Risaie e castelli della Lomellina,80,,80.00000000,0,80,8.704,45.118
PV,PV,Veduta di Varzi,81,,81.00000000,0,81,9.205,44.814
SO,SO,Bagni del Masino,82,,82.00000000,0,82,9.597,46.245
SO,SO,Bernina Disgrazia,83,,83.00000000,0,83,9.753,46.257
SO,SO,Chiavenna e la Mera,84,,84.00000000,0,84,9.420,46.321
SO,SO,Livigno,85,,85.00000000,0,85,10.136,46.539
SO,SO,Madonna di Tirano,86,,86.00000000,0,86,10.156,46.219
SO,SO,Ortles e catena del Confinale,87,,87.00000000,0,87,10.551,46.486
SO,SO,Pianazzo e lago di Montespluga,88,,88.00000000,0,88,9.350,46.418
SO,SO,Ponte di Ganda a Morbegno,89,,89.00000000,0,89,9.573,46.151
SO,SO,Sassella,90,,90.00000000,0,90,9.833,46.163
SO,SO,Spriana e Scilironi in Valmalenco,91,,91.00000000,0,91,9.865,46.220
SO,SO,Strada dello Stelvio,92,,92.00000000,0,92,10.416,46.508
SO,SO,Torri di Fraele,93,,93.00000000,0,93,10.303,46.511
SO,SO,Val di Mello,94,,94.00000000,0,94,9.670,46.260
SO,SO,Valle del Forno,95,,95.00000000,0,95,10.525,46.471
VA,VA,Giardini Estensi a Varese,96,,97.00000000,0,96,8.823,45.817
VA,VA,Sacro Monte e Campo dei Fiori,97,,98.00000000,0,97,8.792,45.861
VA,VA,Vedute del lago di Varese (Gazzada),98,,99.00000000,0,98,8.824,45.777
VA,VA,VEDUTE DI VERBANO,99,,100.00000000,0,99,8.628,45.838
VA,VA,"CASTELSEPRIO, CASTIGLIOENE OLONA E TORBA",100,,96.00000000,0,100,8.848,45.755
